transactionid,saledate,customerid,productid,storeid,campaignid,saleamount($),transactiontimeminutes
582,9/7/2024,1197,2054,402,0,4242.6,20
583,6/6/2024,1066,2044,402,2,96.22,24
584,7/9/2024,1168,2027,401,0,1229.14,6
585,10/28/2024,1165,2023,401,2,3472.15,21
586,7/3/2024,1070,2088,403,0,171.66,2
587,11/1/2024,1066,2033,402,3,441.3,28
588,11/2/2024,1027,2079,402,0,3719.3,26
589,7/13/2024,1020,2002,404,0,1345.98,11
590,9/17/2024,1100,2065,404,3,1572.83,14
591,3/14/2025,1000,2088,404,2,640.51,20
592,6/24/2024,1165,2097,403,3,1804.81,17
593,8/23/2024,1098,2038,404,2,1776.17,29
594,11/15/2024,1034,2039,402,0,3395.33,20
595,12/3/2024,1115,2002,401,2,133.49,22
596,7/20/2024,1170,2086,402,1,121.91,29
597,7/29/2024,1120,2079,401,1,3346.98,28
598,4/28/2025,1024,2021,401,0,1210.21,29
599,12/30/2024,1071,2094,404,1,1931.15,17
600,8/27/2024,1116,2009,403,3,61.79,20
601,8/8/2024,1034,2039,404,0,863.25,24
602,6/4/2024,1180,2036,404,3,452.01,8
603,1/10/2025,1105,2023,401,3,896.1,3
604,3/30/2025,1107,2035,402,0,4382.29,15
605,5/28/2025,1118,2084,402,1,340.97,15
606,4/5/2025,1127,2013,401,2,1631.22,23
607,12/30/2024,1116,2013,402,0,1022.29,13
608,4/25/2025,1151,2053,402,2,264.76,16
610,11/15/2024,1032,2054,402,1,4890,18
611,8/23/2024,1034,2019,404,1,1489.34,12
612,9/28/2024,1116,2070,402,3,40.3,8
613,11/26/2024,1003,2094,402,3,1789.05,21
614,12/25/2024,1034,2005,401,0,818.92,7
615,3/24/2025,1025,2030,401,0,842.91,15
616,8/30/2024,1061,2011,401,2,945.6,9
617,12/20/2024,1116,2017,404,2,1422.61,26
618,6/1/2024,1098,2042,401,2,1244.38,30
619,12/20/2024,1066,2042,401,2,266.38,11
620,10/25/2024,1093,2082,401,1,703.11,22
621,12/13/2024,1188,2074,402,1,1800.97,30
622,12/4/2024,1013,2054,404,0,2893.57,12
623,3/29/2025,1115,2086,401,3,811.83,11
624,8/14/2024,1019,2041,401,3,1419.15,7
625,5/16/2025,1005,2069,402,3,1307.13,24
626,9/27/2024,1071,2066,403,2,1584.31,9
627,11/29/2024,1135,2056,404,1,647.67,18
628,3/15/2025,1089,2098,401,2,374.41,20
629,5/5/2025,1073,2023,402,0,1924.82,9
630,7/23/2024,1047,2013,403,1,2929.4,28
631,8/7/2024,1006,2063,402,2,1941.79,27
632,12/14/2024,1165,2060,403,1,1470.66,19
633,5/4/2025,1028,2005,402,0,833.18,26
634,4/5/2025,1023,2070,402,1,117.39,26
635,8/20/2024,1032,2011,404,2,1047.53,30
636,6/24/2024,1101,2079,403,0,2081.1,20
637,5/24/2025,1022,2091,404,2,3776,7
638,4/26/2025,1106,2039,401,2,4403.87,23
639,5/28/2025,1005,2079,403,3,3898.6,6
640,7/27/2024,1005,2091,401,2,1867.61,17
641,12/17/2024,1006,2019,403,3,3496.61,25
642,9/26/2024,1071,2041,404,0,2127.92,29
643,11/28/2024,1066,2060,401,0,367.55,3
644,6/26/2024,1177,2023,401,3,4798.2,28
645,6/21/2024,1163,2065,402,1,1217.59,23
646,8/9/2024,1080,2087,403,2,1181.09,9
647,3/29/2025,1020,2062,404,1,351.38,24
648,8/31/2024,1066,2009,401,0,53.62,20
649,10/24/2024,1152,2043,402,0,281.26,28
650,7/24/2024,1176,2023,402,0,3933.61,20
651,7/18/2024,1032,2005,402,0,1821.63,11
652,6/19/2024,1002,2015,402,1,735.49,18
653,7/9/2024,1071,2044,403,1,183.26,17
654,3/28/2025,1135,2035,403,0,944.09,24
655,8/28/2024,1181,2089,402,0,741.9,6
656,10/30/2024,1071,2097,403,0,2731.17,30
657,10/23/2024,1184,2054,404,2,3812.78,23
658,2/1/2025,1057,2037,404,0,1614.75,28
659,5/10/2025,1003,2062,401,0,819.88,20
660,2/4/2025,1189,2021,401,1,1210.17,20
661,5/29/2025,1005,2035,403,3,3500.05,22
662,5/15/2025,1130,2091,401,3,3327.67,12
663,7/26/2024,1034,2063,401,3,687.56,3
664,10/1/2024,1194,2097,404,1,2740.55,3
665,12/4/2024,1138,2097,401,0,1915.52,13
666,10/28/2024,1008,2041,402,1,2250.86,26
667,3/7/2025,1125,2087,404,1,813.2,17
668,12/1/2024,1157,2098,403,0,299.99,27
669,10/25/2024,1149,2054,404,2,2353.68,11
670,6/24/2024,1071,2075,401,0,273.22,12
671,8/10/2024,1009,2054,404,3,4935.94,25
672,10/29/2024,1146,2091,401,1,2762.46,3
673,3/7/2025,1157,2079,402,0,2911.25,13
674,9/26/2024,1005,2079,401,0,1730.14,27
675,12/19/2024,1109,2019,403,2,2929.76,27
676,8/22/2024,1159,2085,402,1,465.26,5
677,5/18/2025,1119,2097,404,0,2139.24,2
678,8/1/2024,1020,2052,403,0,1699.64,15
679,9/17/2024,1041,2039,402,0,624.67,11
680,3/19/2025,1124,2055,404,0,581.79,8
681,6/13/2024,1071,2022,401,3,157.89,19
682,4/25/2025,1076,2052,403,0,1687.63,26
683,4/5/2025,1066,2074,403,0,288.44,11
684,3/22/2025,1149,2095,402,1,391.55,30
685,5/22/2025,1065,2007,404,0,876.37,17
686,1/30/2025,1037,2091,403,0,4573.53,2
687,6/15/2024,1013,2085,402,3,1919.04,4
688,10/24/2024,1031,2030,404,3,1839.96,2
689,9/30/2024,1193,2035,402,2,3950.33,21
690,11/7/2024,1066,2062,404,2,1759.68,19
691,3/28/2025,1178,2019,403,2,623.08,26
693,12/21/2024,1071,2098,402,3,672.83,14
694,11/27/2024,1066,2039,403,1,2154.2,7
695,11/2/2024,1146,2013,402,3,3655.68,22
696,8/9/2024,1109,2019,401,1,1028.08,22
697,2/15/2025,1116,2063,401,1,1730.78,29
698,3/14/2025,1126,2055,402,2,419.26,16
699,8/14/2024,1007,2041,402,1,3579.2,30
700,11/22/2024,1116,2088,404,3,1485.4,27
701,9/13/2024,1034,2035,404,0,0,26
702,12/4/2024,1101,2016,401,2,1011.04,17
703,10/15/2024,1022,2070,404,0,146.99,5
704,12/3/2024,1071,2055,403,2,1535.05,24
705,9/16/2024,1042,2046,402,3,30.81,29
706,9/3/2024,1020,2091,404,3,2104.34,23
707,2/10/2025,1126,2023,401,1,1312.95,16
708,8/9/2024,1069,2084,402,0,1163.04,8
709,11/9/2024,1032,2042,401,0,1201.16,25
710,5/15/2025,1039,2091,404,2,526.12,21
711,5/22/2025,1115,2070,402,0,49.61,5
712,3/20/2025,1140,2048,401,1,1553.21,6
713,11/4/2024,1071,2079,403,1,2708.8,25
714,11/14/2024,1079,2077,402,0,1049.67,24
715,11/30/2024,1121,2039,404,3,3262.41,26
716,11/15/2024,1010,2059,402,1,1078.19,18
717,1/12/2025,1032,2061,403,1,635.8,3
718,9/10/2024,1145,2019,401,3,2590.95,9
719,2/15/2025,1090,2019,401,3,1319.94,17
720,11/2/2024,1020,2046,404,2,138.54,16
721,3/24/2025,1066,2077,403,0,84.93,11
722,11/3/2024,1032,2051,404,2,1928.13,16
723,1/25/2025,1022,2013,402,0,1346.99,12
724,6/12/2024,1037,2055,402,3,872.66,15
726,9/28/2024,1100,2013,401,3,4318.77,16
727,2/22/2025,1141,2004,404,3,168.37,19
728,6/8/2024,1141,2079,404,2,2463.04,20
729,8/6/2024,1120,2029,402,2,129.48,11
730,2/14/2025,1075,2049,404,2,1609.52,15
731,4/5/2025,1072,2011,404,1,1009.76,23
732,3/17/2025,1126,2029,401,2,59.99,29
733,8/5/2024,1128,2019,403,1,1508.43,22
734,9/14/2024,1090,2098,403,0,1856.93,13
735,11/15/2024,1193,2019,401,0,1251.71,15
736,7/20/2024,1089,2041,404,3,946.82,17
737,1/12/2025,1035,2035,404,0,4141.15,11
738,10/16/2024,1021,2079,403,1,3890.78,2
739,11/11/2024,1005,2052,404,2,913.03,11
740,3/8/2025,1132,2010,403,1,816.87,5
741,6/16/2024,1038,2007,403,2,661.71,11
742,10/17/2024,1135,2018,404,1,1267.5,30
743,12/31/2024,1088,2083,404,2,1098,13
744,11/2/2024,1032,2069,403,2,1526.24,26
745,8/6/2024,1020,2041,404,0,4287.13,30
746,9/14/2024,1031,2019,404,0,4923.28,24
747,3/22/2025,1144,2080,402,2,1639.4,15
748,12/20/2024,1005,2031,401,1,754.47,9
749,7/12/2024,1105,2013,404,3,851.33,27
750,1/26/2025,1143,2050,403,3,1393.58,5
751,5/14/2025,1106,2018,402,3,1423.82,10
752,4/12/2025,1071,2004,402,2,281.59,6
753,4/9/2025,1089,2005,402,2,641.36,20
754,11/29/2024,1036,2053,401,2,470.38,17
755,3/28/2025,1031,2008,401,2,1805.56,5
756,3/13/2025,1184,2016,402,3,1351.08,11
757,8/2/2024,1022,2085,404,3,139.35,29
758,1/24/2025,1071,2021,401,2,291.37,8
759,12/17/2024,1034,2066,402,0,1875.55,5
760,8/14/2024,1071,2039,404,2,702.43,29
761,4/12/2025,1005,2013,403,0,947,12
762,8/9/2024,1020,2019,403,1,4825.06,2
763,8/15/2024,1076,2040,402,2,141.82,24
764,4/26/2025,1071,2075,402,3,575.11,6
765,10/7/2024,1016,2052,402,0,1928.78,25
766,1/25/2025,1116,2046,404,1,29.93,8
768,12/31/2024,1042,2091,403,3,4290.97,18
769,8/27/2024,1072,2097,401,3,4237.24,18
770,2/18/2025,1110,2097,403,2,4908.38,21
771,2/10/2025,1169,2043,402,2,1399.1,15
772,1/12/2025,1032,2013,402,3,2921.59,10
773,3/15/2025,1019,2085,404,2,783.93,19
774,12/27/2024,1196,2001,401,1,481.97,19
775,6/8/2024,1181,2011,403,1,1012.93,25
776,10/24/2024,1180,2026,401,3,590.83,29
778,9/14/2024,1058,2093,403,0,1401.32,25
779,12/11/2024,1143,2000,404,0,679.85,16
780,4/5/2025,1031,2059,404,0,487.87,16
781,9/21/2024,1114,2046,402,0,41.59,7
783,11/14/2024,1089,2031,401,2,1652.19,12
784,12/7/2024,1066,2079,404,3,884.91,5
785,6/27/2024,1089,2088,401,0,911.74,24
786,10/1/2024,1016,2013,401,3,3277.86,26
787,11/8/2024,1168,2058,404,3,1257.5,20
788,10/15/2024,1006,2042,402,0,181.71,14
789,3/15/2025,1116,2032,403,3,318.46,9
790,6/20/2024,1005,2083,403,1,651.92,13
792,4/11/2025,1050,2081,402,2,977.66,24
793,2/2/2025,1177,2070,403,3,24.68,21
794,4/18/2025,1126,2013,402,3,1575.59,26
795,2/22/2025,1084,2048,402,0,193.78,16
797,8/11/2024,1184,2097,402,0,1678.05,9
798,7/13/2024,1035,2014,403,2,770.8,20
799,10/26/2024,1005,2008,401,1,423.78,7
800,10/29/2024,1153,2081,402,1,623.66,3
801,8/2/2024,1020,2065,404,0,1592.44,16
802,12/30/2024,1005,2082,403,3,1439.35,13
803,12/9/2024,1126,2074,404,0,1795.03,12
804,11/20/2024,1071,2046,402,2,21.87,30
805,3/1/2025,1132,2074,401,2,961.72,24
806,11/8/2024,1081,2013,402,2,2115.92,25
807,7/5/2024,1131,2010,403,0,752.46,4
808,12/14/2024,1172,2040,403,1,115.33,11
809,2/24/2025,1002,2036,403,3,1652.63,28
810,3/4/2025,1116,2029,402,1,82.22,16
811,3/15/2025,1184,2043,401,1,1886.76,26
812,11/9/2024,1142,2023,402,0,3464.82,10
813,10/20/2024,1005,2051,403,0,112.81,4
814,7/28/2024,1084,2077,404,1,174.23,11
815,11/1/2024,1084,2057,403,0,396.39,29
816,3/30/2025,1006,2019,404,1,2859.78,2
817,11/21/2024,1002,2079,404,0,2382.86,12
818,2/26/2025,1052,2035,403,3,3087.91,25
819,10/4/2024,1032,2013,402,3,1610.78,15
820,10/11/2024,1125,2073,401,2,1841.85,6
821,10/18/2024,1076,2022,404,3,1826.12,17
822,8/16/2024,1100,2005,402,1,1274.76,6
823,9/27/2024,1178,2027,404,0,199.24,28
824,7/14/2024,1083,2021,403,0,192.73,26
825,2/4/2025,1097,2046,402,0,109.27,11
826,7/27/2024,1118,2008,401,1,903.56,9
827,11/25/2024,1041,2013,401,0,2258.82,12
828,7/4/2024,1173,2091,403,0,2895.34,20
830,3/9/2025,1063,2030,402,3,78.39,3
831,3/28/2025,1016,2019,402,0,984.58,30
832,10/11/2024,1048,2069,404,0,256.48,15
833,10/9/2024,1089,2035,404,2,2160.41,30
834,6/29/2024,1020,2063,401,1,234.75,26
835,10/9/2024,1099,2098,402,2,1349.42,12
836,6/29/2024,1032,2081,402,0,1251.88,26
838,8/2/2024,1034,2039,404,2,1928.92,17
839,3/15/2025,1005,2036,401,2,451.34,13
840,6/23/2024,1063,2089,402,3,407.91,28
841,1/4/2025,1032,2035,401,1,1065.02,18
842,8/11/2024,1052,2019,404,2,1388.91,25
843,11/11/2024,1077,2091,402,3,4876.5,19
844,11/4/2024,1032,2078,404,3,793.77,16
845,4/10/2025,1076,2019,402,3,1774.52,11
846,12/18/2024,1085,2091,402,1,0,9
847,4/12/2025,1095,2053,404,2,650.23,6
848,5/28/2025,1034,2015,404,1,900.78,8
849,9/13/2024,1184,2046,403,3,112.99,22
850,9/7/2024,1089,2086,401,1,938.17,14
852,5/3/2025,1150,2010,402,1,543.1,16
853,10/1/2024,1168,2075,403,0,1166.59,17
854,3/19/2025,1068,2095,404,0,1641.96,21
855,6/1/2024,1005,2083,403,1,413.48,7
856,7/26/2024,1128,2057,402,0,1627.9,19
857,8/18/2024,1104,2079,401,1,885.68,17
858,7/22/2024,1034,2061,404,0,568.86,7
859,5/16/2025,1010,2097,401,2,2629.54,17
860,10/14/2024,1094,2043,403,2,787.95,28
861,6/25/2024,1084,2000,404,3,1781.54,4
862,7/28/2024,1135,2035,403,3,3471.03,2
863,6/1/2024,1082,2054,401,2,1551.01,23
864,11/29/2024,1020,2046,401,2,109.67,9
865,4/16/2025,1183,2016,404,2,1992.79,9
866,5/28/2025,1114,2061,402,1,1336.5,25
867,7/8/2024,1183,2054,404,1,3496.7,8
868,5/15/2025,1170,2097,404,2,4693.01,20
869,3/7/2025,1164,2046,404,1,50.74,17
870,7/17/2024,1151,2095,401,1,1910.43,17
871,12/21/2024,1034,2024,404,2,1605.16,3
872,5/9/2025,1071,2013,404,2,2749.25,9
873,11/21/2024,1037,2089,401,2,1392.77,29
874,9/20/2024,1146,2027,404,3,1629.91,15
875,8/3/2024,1187,2028,401,1,1468.42,27
876,9/30/2024,1040,2070,404,3,116.08,18
877,11/2/2024,1072,2035,404,2,3111.73,20
878,3/22/2025,1181,2029,402,3,30.28,21
879,8/30/2024,1188,2046,401,1,147.58,2
880,1/28/2025,1034,2091,402,0,3425.44,6
881,12/25/2024,1160,2031,401,3,1391.57,19
882,5/16/2025,1096,2085,401,3,1323.73,15
884,9/20/2024,1151,2091,404,1,785.74,3
885,4/30/2025,1047,2089,401,3,1682.43,5
886,12/12/2024,1166,2035,401,1,0,14
887,11/18/2024,1010,2035,402,2,657.52,21
888,5/24/2025,1093,2021,404,0,140.02,7
889,5/13/2025,1075,2056,402,2,1972.74,16
890,10/19/2024,1053,2084,401,1,1719.37,2
891,8/29/2024,1071,2035,402,3,1647.35,26
892,10/31/2024,1102,2032,404,1,187.59,10
893,2/21/2025,1178,2091,403,1,1190.71,23
894,5/30/2025,1006,2031,401,0,843.22,8
895,10/11/2024,1089,2018,402,0,1939.11,17
896,10/29/2024,1066,2041,404,2,4394.29,7
897,12/14/2024,1012,2079,402,3,1074.07,7
898,6/5/2024,1039,2018,404,2,1464.57,9
899,5/23/2025,1063,2053,404,2,1029.35,17
900,9/21/2024,1183,2029,403,0,66.91,28
901,10/5/2024,1066,2035,401,0,1786.33,30
902,5/8/2025,1002,2054,402,0,3273.29,16
903,5/1/2025,1182,2068,403,0,1931.06,27
904,1/25/2025,1134,2022,401,1,1907.34,14
905,11/11/2024,1095,2043,402,0,992.09,15
906,9/16/2024,1005,2041,401,3,526.51,4
907,11/22/2024,1027,2023,404,0,1388.95,25
908,12/10/2024,1105,2091,401,2,2279.11,17
909,9/30/2024,1046,2034,401,3,739.79,10
911,4/26/2025,1071,2085,403,3,1609.65,24
912,2/13/2025,1195,2051,404,0,295.94,6
913,10/17/2024,1071,2054,404,0,1802.6,24
914,11/29/2024,1063,2093,402,0,1988.8,22
915,9/10/2024,1050,2013,402,1,1095.33,22
916,6/17/2024,1037,2078,402,0,1073.69,26
917,2/7/2025,1056,2046,401,0,47.69,6
919,8/27/2024,1155,2023,403,2,1001.88,2
920,1/23/2025,1197,2042,403,2,1198.38,25
921,12/27/2024,1020,2079,401,1,3208.26,4
922,6/18/2024,1167,2024,404,0,1257.07,17
923,10/1/2024,1194,2023,401,3,1636.36,2
924,4/18/2025,1143,2046,404,0,19.48,6
925,11/9/2024,1128,2021,403,1,1913.82,7
926,6/27/2024,1048,2050,404,0,1513.92,19
928,6/4/2024,1131,2090,403,1,573.6,30
929,7/20/2024,1071,2023,403,2,731.84,9
930,5/24/2025,1053,2000,403,2,1895.53,19
931,4/20/2025,1034,2078,403,0,70.3,29
932,10/20/2024,1071,2013,401,3,1658.05,21
933,1/3/2025,1052,2028,403,3,501.86,14
934,2/18/2025,1122,2023,404,1,2707.33,2
935,2/20/2025,1005,2029,404,1,20.09,25
936,9/9/2024,1103,2097,402,0,2200.44,4
937,6/9/2024,1195,2005,402,0,1880.27,12
938,12/27/2024,1002,2013,403,0,2661.91,22
939,12/18/2024,1041,2046,402,2,27.23,2
941,11/1/2024,1073,2079,401,0,4804.1,3
942,9/23/2024,1089,2019,401,1,2006.8,10
943,8/15/2024,1170,2079,403,0,2746.63,29
944,10/26/2024,1182,2000,402,1,811.67,20
945,2/15/2025,1122,2014,404,2,679.95,22
946,7/24/2024,1090,2046,404,3,99.12,3
947,7/27/2024,1062,2070,404,3,125,10
948,11/1/2024,1107,2099,402,1,446.4,27
949,4/8/2025,1121,2014,401,2,1740.21,19
950,3/28/2025,1036,2070,404,1,29.29,12
951,5/18/2025,1096,2089,404,0,193.85,10
952,4/4/2025,1007,2023,401,0,4161.7,20
953,8/2/2024,1116,2089,403,2,1307.45,22
954,6/7/2024,1034,2004,402,0,876.06,7
955,5/14/2025,1182,2073,403,3,580.06,21
956,7/9/2024,1032,2051,401,1,1953.18,15
957,12/28/2024,1032,2083,404,1,774.38,25
959,6/28/2024,1193,2024,402,0,215.83,28
960,12/20/2024,1032,2054,401,0,3882.56,17
961,5/17/2025,1080,2092,403,0,1798.2,12
962,12/4/2024,1198,2039,404,0,1181.92,22
963,11/23/2024,1023,2029,402,1,32.55,8
964,5/19/2025,1186,2066,403,1,752.62,16
965,4/11/2025,1182,2049,402,0,1155.46,9
966,5/30/2025,1034,2041,401,3,4703.25,28
967,8/7/2024,1093,2009,402,3,76.26,12
969,4/11/2025,1033,2065,403,3,562.51,26
970,4/18/2025,1158,2007,402,0,255.33,25
971,10/28/2024,1018,2091,401,3,4550.57,20
972,11/23/2024,1066,2050,404,2,717.73,30
973,12/27/2024,1032,2091,401,3,1460.62,27
974,12/19/2024,1198,2046,404,1,131.52,3
975,5/16/2025,1069,2023,401,2,1842.52,9
976,2/12/2025,1134,2041,402,0,2428.4,22
977,5/19/2025,1050,2046,404,1,71.15,18
980,12/3/2024,1172,2066,401,1,1295.89,17
981,12/21/2024,1071,2069,402,1,1907.13,20
982,5/23/2025,1003,2046,401,2,131.49,7
983,2/6/2025,1116,2045,403,3,1541.91,25
984,7/18/2024,1005,2070,402,3,102.34,24
985,1/29/2025,1179,2012,401,0,82.03,19
986,5/9/2025,1066,2064,401,3,1564.92,12
987,12/14/2024,1032,2044,404,3,0,19
988,10/27/2024,1020,2041,403,3,518.71,17
989,4/30/2025,1034,2054,403,3,4880.71,12
990,8/19/2024,1013,2073,404,3,388.75,27
991,4/28/2025,1111,2023,401,3,3322.93,4
992,9/14/2024,1082,2019,401,1,3684.09,29
993,5/3/2025,1005,2023,404,2,3436.35,14
994,8/31/2024,1071,2048,403,2,330.35,13
995,6/10/2024,1026,2039,401,2,1312.82,24
996,7/4/2024,1053,2062,401,3,198.81,20
997,2/1/2025,1080,2057,402,0,1336.35,23
998,1/5/2025,1030,2044,404,0,1496.31,5
999,5/6/2025,1034,2066,402,2,473.07,14
1000,10/11/2024,1116,2091,402,2,3433.66,23
1001,11/23/2024,1111,2051,402,1,1780.26,9
1002,9/23/2024,1149,2075,403,1,1001.27,27
1003,4/20/2025,1191,2054,401,3,2088.12,23
1004,4/26/2025,1115,2013,403,2,4447.63,16
1005,5/15/2025,1101,2023,403,1,826.88,5
1006,1/17/2025,1199,2009,403,2,89.45,17
1007,10/8/2024,1066,2077,402,0,1446.72,7
1008,5/13/2025,1171,2079,404,2,723.47,14
1009,12/1/2024,1020,2015,404,2,511.02,20
1010,6/9/2024,1034,2036,402,3,1090.26,20
1011,12/9/2024,1004,2019,404,2,2056.21,23
1012,7/5/2024,1126,2050,403,3,1300.14,27
1013,5/1/2025,1158,2035,401,1,1952.87,29
1014,2/1/2025,1043,2054,401,0,4032.25,19
1015,7/17/2024,1019,2039,404,1,3125.54,11
1016,7/20/2024,1037,2052,404,1,1339.47,14
1017,5/24/2025,1187,2011,403,0,1679.31,7
1019,3/28/2025,1066,2070,403,2,101.74,23
1020,4/7/2025,1116,2054,404,1,1345.79,4
1021,9/21/2024,1020,2073,401,0,519.1,18
1022,4/25/2025,1034,2067,404,0,213.93,15
1023,11/14/2024,1005,2006,404,0,795.92,25
1024,5/7/2025,1071,2076,403,3,262.91,24
1025,6/22/2024,1066,2013,401,1,954.64,6
1026,9/1/2024,1183,2050,401,2,383.51,23
1027,8/23/2024,1180,2093,401,3,1712.5,17
1028,2/1/2025,1066,2054,404,0,2425.65,23
1029,6/9/2024,1019,2013,403,0,1613.8,27
1030,7/16/2024,1145,2037,402,1,1561.75,22
1031,7/12/2024,1085,2094,403,2,544.4,6
1032,11/22/2024,1077,2066,404,0,850.12,29
1033,8/30/2024,1091,2031,404,0,1911.89,15
1034,1/9/2025,1160,2057,402,2,812.5,5
1035,11/9/2024,1079,2039,403,0,2547.62,8
1036,5/21/2025,1073,2013,404,1,1176.02,17
1038,8/29/2024,1031,2041,401,0,1119.73,27
1039,4/19/2025,1128,2098,402,2,1479.45,22
1040,11/14/2024,1074,2091,403,3,4851.08,18
1041,7/12/2024,1077,2022,404,2,321.39,3
1042,3/8/2025,1106,2038,403,3,783.13,17
1043,4/18/2025,1035,2088,403,2,883.95,5
1044,11/10/2024,1007,2003,404,1,639.66,26
1046,1/24/2025,1195,2058,401,2,1317.27,27
1047,10/12/2024,1020,2088,403,0,1365.11,8
1048,2/24/2025,1071,2071,404,1,656.24,10
1050,12/7/2024,1066,2064,404,0,993.25,17
1051,8/16/2024,1020,2087,404,0,1290.58,25
1052,8/16/2024,1168,2097,402,2,950.09,7
1053,12/24/2024,1070,2089,401,3,602.67,16
1055,11/23/2024,1070,2023,403,1,3678.01,10
1056,11/2/2024,1116,2092,403,1,1537.08,26
1057,10/1/2024,1165,2060,402,2,681.95,6
1059,1/21/2025,1173,2097,402,1,4463.4,17
1060,2/19/2025,1107,2007,403,0,779.93,17
1061,1/5/2025,1116,2046,404,1,78.75,30
1062,1/28/2025,1116,2067,402,0,1353.88,18
1063,8/23/2024,1001,2052,401,3,454.58,14
1064,3/30/2025,1091,2071,402,3,783.43,15
1066,3/28/2025,1064,2045,401,1,195.82,18
1067,12/21/2024,1156,2051,401,0,1877.01,7
1068,5/27/2025,1008,2040,402,0,86.59,16
1069,2/21/2025,1169,2007,402,0,187.99,6
1070,11/9/2024,1020,2061,402,0,1018.36,10
1071,9/1/2024,1122,2029,401,0,123.59,2
1073,11/13/2024,1035,2019,403,2,760.65,11
1074,9/4/2024,1058,2096,401,0,537.35,4
1075,6/25/2024,1032,2013,403,1,1083.72,14
1076,11/4/2024,1168,2041,402,2,4364.42,2
1077,11/16/2024,1093,2037,402,2,1105.77,16
1078,7/14/2024,1105,2079,404,1,4286.41,18
1080,3/7/2025,1005,2004,403,3,1931.94,2
1081,6/26/2024,1098,2048,404,1,409.63,15
1082,11/14/2024,1020,2054,401,2,4583.52,7
1083,3/24/2025,1193,2039,404,0,2989.82,18
1084,5/16/2025,1073,2068,404,2,793.52,30
1085,2/27/2025,1033,2035,403,1,1831.21,26
1086,12/20/2024,1020,2084,403,0,1158.46,17
1088,1/9/2025,1104,2019,403,2,2481.98,24
1089,9/14/2024,1066,2016,402,1,1329.16,14
1091,2/13/2025,1065,2054,401,2,2781.22,26
1093,6/11/2024,1092,2046,403,2,32.44,17
1094,6/20/2024,1151,2039,402,2,2204.78,2
1095,12/22/2024,1038,2083,401,1,1995.74,30
1096,1/4/2025,1137,2067,401,3,430.3,10
1097,12/20/2024,1084,2054,402,0,2502.53,20
1098,5/17/2025,1020,2064,401,3,925.49,17
1099,11/9/2024,1032,2031,404,1,1601.92,29
1100,10/16/2024,1005,2018,404,1,1758.99,26
1101,6/7/2024,1020,2091,404,1,4252.36,6
1102,6/11/2024,1066,2097,404,2,3636.18,28
1103,9/7/2024,1086,2043,401,0,1845.41,17
1104,5/15/2025,1161,2055,403,1,1461.23,20
1105,12/24/2024,1130,2013,403,3,2473.64,10
1106,12/5/2024,1197,2041,404,3,2228.3,29
1107,3/3/2025,1010,2094,402,2,1250.18,28
1108,7/12/2024,1030,2091,404,1,4629.62,24
1109,5/29/2025,1059,2018,401,1,1809.96,2
1110,5/17/2025,1049,2013,403,3,2844.02,20
1111,4/1/2025,1028,2015,404,3,1735.78,4
1112,5/30/2025,1029,2010,402,2,703.91,16
1113,11/20/2024,1172,2090,403,0,1868.12,13
1114,3/18/2025,1142,2080,401,0,1193.37,26
1115,4/17/2025,1071,2023,404,3,1393.58,26
1117,8/13/2024,1067,2080,402,3,1910.95,2
1118,4/18/2025,1074,2062,404,3,476.91,28
1119,5/19/2025,1195,2091,403,3,2591.31,7
1120,10/7/2024,1005,2099,404,3,1390.08,16
1121,6/13/2024,1055,2052,401,2,669.36,22
1122,11/2/2024,1102,2013,403,1,4183.36,22
1123,10/4/2024,1146,2068,402,0,1245.94,11
1124,10/11/2024,1005,2002,404,2,1545.34,21
1125,12/15/2024,1132,2097,402,3,1532.01,3
1126,3/21/2025,1084,2070,402,0,115.72,18
1128,6/15/2024,1096,2016,403,0,1458.12,30
1129,3/6/2025,1003,2069,402,3,1231.1,10
1130,10/5/2024,1131,2038,403,0,1329.3,15
1131,11/25/2024,1023,2079,403,1,4969.19,15
1132,2/19/2025,1195,2013,404,0,1544.52,3
1133,10/26/2024,1164,2029,401,1,141.89,17
1135,2/24/2025,1009,2070,404,2,115.71,12
1136,3/18/2025,1080,2030,403,3,1724.37,19
1137,5/30/2025,1066,2009,404,0,114.74,21
1138,8/9/2024,1029,2079,404,3,4433.97,18
1139,11/9/2024,1066,2037,403,2,373.59,23
1140,9/27/2024,1157,2047,403,1,1857.81,11
1141,2/15/2025,1034,2091,401,1,801.72,15
1142,5/24/2025,1048,2019,404,0,3175.05,10
1143,6/29/2024,1057,2009,402,3,52.81,17
1145,9/22/2024,1026,2097,404,2,3817.69,14
1146,12/30/2024,1053,2035,402,1,2639.59,12
1147,6/1/2024,1034,2091,404,2,3920.03,16
1148,9/7/2024,1198,2060,403,2,1772.41,14
1149,4/5/2025,1162,2091,402,3,4050.34,2
1150,1/31/2025,1111,2022,401,3,724.68,25
1151,11/11/2024,1048,2022,401,2,60.95,4
1152,10/4/2024,1089,2064,401,0,1301.26,3
1153,11/4/2024,1180,2013,401,3,3345.08,18
1154,11/30/2024,1165,2013,401,1,1296.08,27
1155,4/9/2025,1066,2013,403,2,1373.82,26
1156,12/29/2024,1089,2021,403,3,1352.06,19
1157,6/27/2024,1116,2010,402,2,1393,10
